"defend_type	defend_type2 PKMN	Nor	Fir	Wat	Ele	Gra	Ice	Fig	Poi	Gro	Fly	Psy	Bug	Roc	Gho	Dra	Dar	Ste	Fai"
"Fire Poison	2	1	0.5	2	1	0.25	0.5	0.5	0.5	4	1	2	0.25	2	1	1	1	0.5	0.25"
"Fire Ground	4	1	0.5	4	0	1	1	1	0.5	2	1	1	0.5	1	1	1	1	0.5	0.5"
"Fire Flying	7	1	0.5	2	2	0.25	1	0.5	1	0	1	1	0.25	4	1	1	1	0.5	0.5"
"Fire Psychic	3	1	0.5	2	1	0.5	0.5	0.5	1	2	1	0.5	1	2	2	1	2	0.5	0.5"
"Fire Bug	2	1	1	2	1	0.25	0.5	0.5	1	1	2	1	0.5	4	1	1	1	0.5	0.5"
"Fire Rock	1	0.5	0.25	4	1	1	0.5	2	0.5	4	0.5	1	0.5	2	1	1	1	1	0.5"
"Fire Ghost	5	0	0.5	2	1	0.5	0.5	0	0.5	2	1	1	0.25	2	2	1	2	0.5	0.5"
"Fire Dragon	3	1	0.25	1	0.5	0.25	1	1	1	2	1	1	0.5	2	1	2	1	0.5	1"
"Fire Dark	4	1	0.5	2	1	0.5	0.5	2	1	2	1	0	1	2	0.5	1	0.5	0.5	1"
"Fire Steel	1	0.5	1	2	1	0.25	0.25	2	0	4	0.5	0.5	0.25	1	1	0.5	1	0.25	0.25"
"Fire Fairy	0	1	0.5	2	1	0.5	0.5	0.5	2	2	1	1	0.25	2	1	0	0.5	1	0.5"
"Water None	66	1	0.5	0.5	2	2	0.5	1	1	1	1	1	1	1	1	1	1	0.5	1"
"Water Normal	1	1	0.5	0.5	2	2	0.5	2	1	1	1	1	1	1	0	1	1	0.5	1"
"Water Fire	1	1	0.25	1	2	1	0.25	1	1	2	1	1	0.5	2	1	1	1	0.25	0.5"
"Water Electric	3	1	0.5	0.5	1	2	0.5	1	1	2	0.5	1	1	1	1	1	1	0.25	1"
"Water Grass	3	1	1	0.25	1	1	1	1	2	0.5	2	1	2	1	1	1	1	0.5	1"
"Water Ice	6	1	1	0.5	2	2	0.25	2	1	1	1	1	1	2	1	1	1	1	1"
"Water Fighting	3	1	0.5	0.5	2	2	0.5	1	1	1	2	2	0.5	0.5	1	1	0.5	0.5	2"
"Water Poison	6	1	0.5	0.5	2	1	0.5	0.5	0.5	2	1	2	0.5	1	1	1	1	0.5	0.5"
"Water Ground	10	1	0.5	1	0	4	1	1	0.5	1	1	1	1	0.5	1	1	1	0.5	1"
"Water Flying	7	1	0.5	0.5	4	1	1	0.5	1	0	1	1	0.5	2	1	1	1	0.5	1"
"Water Psychic	6	1	0.5	0.5	2	2	0.5	0.5	1	1	1	0.5	2	1	2	1	2	0.5	1"
"Water Bug	5	1	1	0.5	2	1	0.5	0.5	1	0.5	2	1	1	2	1	1	1	0.5	1"
"Water Rock	10	0.5	0.25	1	2	4	0.5	2	0.5	2	0.5	1	1	1	1	1	1	1	1"
"Water Ghost	2	0	0.5	0.5	2	2	0.5	0	0.5	1	1	1	0.5	1	2	1	2	0.5	1"
"Water Dragon	2	1	0.25	0.25	1	1	1	1	1	1	1	1	1	1	1	2	1	0.5	2"
"Water Dark	7	1	0.5	0.5	2	2	0.5	2	1	1	1	0	2	1	0.5	1	0.5	0.5	2"
"Water Steel	1	0.5	1	0.5	2	1	0.25	2	0	2	0.5	0.5	0.5	0.5	1	0.5	1	0.25	0.5"
"Water Fairy	4	1	0.5	0.5	2	2	0.5	0.5	2	1	1	1	0.5	1	1	0	0.5	1	1"
"Electric None	30	1	1	1	0.5	1	1	1	1	2	0.5	1	1	1	1	1	1	0.5	1"
"Electric Normal	2	1	1	1	0.5	1	1	2	1	2	0.5	1	1	1	0	1	1	0.5	1"
"Electric Fire	1	1	0.5	2	0.5	0.5	0.5	1	1	4	0.5	1	0.5	2	1	1	1	0.25	0.5"
"Electric Water	3	1	0.5	0.5	1	2	0.5	1	1	2	0.5	1	1	1	1	1	1	0.25	1"
"Electric Grass	1	1	2	0.5	0.25	0.5	2	1	2	1	1	1	2	1	1	1	1	0.5	1"
"Electric Ice	1	1	2	1	0.5	1	0.5	2	1	2	0.5	1	1	2	1	1	1	1	1"
"Electric Fighting	0	1	1	1	0.5	1	1	1	1	2	1	2	0.5	0.5	1	1	0.5	0.5	2"
"Electric Poison	0	1	1	1	0.5	0.5	1	0.5	0.5	4	0.5	2	0.5	1	1	1	1	0.5	0.5"
"Electric Ground	1	1	1	2	0	2	2	1	0.5	2	0.5	1	1	0.5	1	1	1	0.5	1"
"Electric Flying	6	1	1	1	1	0.5	2	0.5	1	0	0.5	1	0.5	2	1	1	1	0.5	1"
"Electric Psychic	1	1	1	1	0.5	1	1	0.5	1	2	0.5	0.5	2	1	2	1	2	0.5	1"
"Electric Bug	4	1	2	1	0.5	0.5	1	0.5	1	1	1	1	1	2	1	1	1	0.5	1"
"Electric Rock	3	0.5	0.5	2	0.5	2	1	2	0.5	4	0.25	1	1	1	1	1	1	1	1"
"Electric Ghost	1	0	1	1	0.5	1	1	0	0.5	2	0.5	1	0.5	1	2	1	2	0.5	1"
"Electric Dragon	2	1	0.5	0.5	0.25	0.5	2	1	1	2	0.5	1	1	1	1	2	1	0.5	2"
"Electric Dark	0	1	1	1	0.5	1	1	2	1	2	0.5	0	2	1	0.5	1	0.5	0.5	2"
"Electric Steel	4	0.5	2	1	0.5	0.5	0.5	2	0	4	0.25	0.5	0.5	0.5	1	0.5	1	0.25	0.5"
"Electric Fairy	2	1	1	1	0.5	1	1	0.5	2	2	0.5	1	0.5	1	1	0	0.5	1	1"
"Grass None	38	1	2	0.5	0.5	0.5	2	1	2	0.5	2	1	2	1	1	1	1	1	1"
"Grass Normal	2	1	2	0.5	0.5	0.5	2	2	2	0.5	2	1	2	1	0	1	1	1	1"
"Grass Fire	0	1	1	1	0.5	0.25	1	1	2	1	2	1	1	2	1	1	1	0.5	0.5"
"Grass Water	3	1	1	0.25	1	1	1	1	2	0.5	2	1	2	1	1	1	1	0.5	1"
"Grass Electric	1	1	2	0.5	0.25	0.5	2	1	2	1	1	1	2	1	1	1	1	0.5	1"
"Grass Ice	3	1	4	0.5	0.5	0.5	1	2	2	0.5	2	1	2	2	1	1	1	2	1"
"Grass Fighting	3	1	2	0.5	0.5	0.5	2	1	2	0.5	4	2	1	0.5	1	1	0.5	1	2"
"Grass Poison	15	1	2	0.5	0.5	0.25	2	0.5	1	1	2	2	1	1	1	1	1	1	0.5"
"Grass Ground	1	1	2	1	0	1	4	1	1	0.5	2	1	2	0.5	1	1	1	1	1"
"Grass Flying	7	1	2	0.5	1	0.25	4	0.5	2	0	2	1	1	2	1	1	1	1	1"
"Grass Psychic	3	1	2	0.5	0.5	0.5	2	0.5	2	0.5	2	0.5	4	1	2	1	2	1	1"
"Grass Bug	6	1	4	0.5	0.5	0.25	2	0.5	2	0.25	4	1	2	2	1	1	1	1	1"
"Grass Rock	2	0.5	1	1	0.5	1	2	2	1	1	1	1	2	1	1	1	1	2	1"
"Grass Ghost	12	0	2	0.5	0.5	0.5	2	0	1	0.5	2	1	1	1	2	1	2	1	1"
"Grass Dragon	2	1	1	0.25	0.25	0.25	4	1	2	0.5	2	1	2	1	1	2	1	1	2"
"Grass Dark	3	1	2	0.5	0.5	0.5	2	2	2	0.5	2	0	4	1	0.5	1	0.5	1	2"
"Grass Steel	3	0.5	4	0.5	0.5	0.25	1	2	0	1	1	0.5	1	0.5	1	0.5	1	0.5	0.5"
"Grass Fairy	5	1	2	0.5	0.5	0.5	2	0.5	4	0.5	2	1	1	1	1	0	0.5	2	1"
"Ice None	15	1	2	1	1	1	0.5	2	1	1	1	1	1	2	1	1	1	2	1"
"Ice Normal	0	1	2	1	1	1	0.5	4	1	1	1	1	1	2	0	1	1	2	1"
"Ice Fire	0	1	1	2	1	0.5	0.25	2	1	2	1	1	0.5	4	1	1	1	1	0.5"
"Ice Water	6	1	1	0.5	2	2	0.25	2	1	1	1	1	1	2	1	1	1	1	1"
"Ice Electric	1	1	2	1	0.5	1	0.5	2	1	2	0.5	1	1	2	1	1	1	1	1"
"Ice Grass	3	1	4	0.5	0.5	0.5	1	2	2	0.5	2	1	2	2	1	1	1	2	1"
"Ice Fighting	1	1	2	1	1	1	0.5	2	1	1	2	2	0.5	1	1	1	0.5	2	2"
"Ice Poison	0	1	2	1	1	0.5	0.5	1	0.5	2	1	2	0.5	2	1	1	1	2	0.5"
"Ice Ground	3	1	2	2	0	2	1	2	0.5	1	1	1	1	1	1	1	1	2	1"
"Ice Flying	2	1	2	1	2	0.5	1	1	1	0	1	1	0.5	4	1	1	1	2	1"
"Ice Psychic	2	1	2	1	1	1	0.5	1	1	1	1	0.5	2	2	2	1	2	2	1"
"Ice Bug	0	1	4	1	1	0.5	0.5	1	1	0.5	2	1	1	4	1	1	1	2	1"
"Ice Rock	2	0.5	1	2	1	2	0.5	4	0.5	2	0.5	1	1	2	1	1	1	4	1"
"Ice Ghost	1	0	2	1	1	1	0.5	0	0.5	1	1	1	0.5	2	2	1	2	2	1"
"Ice Dragon	3	1	1	0.5	0.5	0.5	1	2	1	1	1	1	1	2	1	2	1	2	2"
"Ice Dark	2	1	2	1	1	1	0.5	4	1	1	1	0	2	2	0.5	1	0.5	2	2"
"Ice Steel	2	0.5	4	1	1	0.5	0.25	4	0	2	0.5	0.5	0.5	1	1	0.5	1	1	0.5"
"Ice Fairy	1	1	2	1	1	1	0.5	1	2	1	1	1	0.5	2	1	0	0.5	4	1"
"Fighting None	22	1	1	1	1	1	1	1	1	1	2	2	0.5	0.5	1	1	0.5	1	2"
"Fighting Normal	4	1	1	1	1	1	1	2	1	1	2	2	0.5	0.5	0	1	0.5	1	2"
"Fighting Fire	7	1	0.5	2	1	0.5	0.5	1	1	2	2	2	0.25	1	1	1	0.5	0.5	1"
"Fighting Water	3	1	0.5	0.5	2	2	0.5	1	1	1	2	2	0.5	0.5	1	1	0.5	0.5	2"
"Fighting Electric	0	1	1	1	0.5	1	1	1	1	2	1	2	0.5	0.5	1	1	0.5	0.5	2"
"Fighting Grass	3	1	2	0.5	0.5	0.5	2	1	2	0.5	4	2	1	0.5	1	1	0.5	1	2"
"Fighting Ice	1	1	2	1	1	1	0.5	2	1	1	2	2	0.5	1	1	1	0.5	2	2"
"Fighting Poison	2	1	1	1	1	0.5	1	0.5	0.5	2	2	4	0.25	0.5	1	1	0.5	1	1"
"Fighting Ground	0	1	1	2	0	2	2	1	0.5	1	2	2	0.5	0.25	1	1	0.5	1	2"
"Fighting Flying	1	1	1	1	2	0.5	2	0.5	1	0	2	2	0.25	1	1	1	0.5	1	2"
"Fighting Psychic	6	1	1	1	1	1	1	0.5	1	1	2	1	1	0.5	2	1	1	1	2"
"Fighting Bug	4	1	2	1	1	0.5	1	0.5	1	0.5	4	2	0.5	1	1	1	0.5	1	2"
"Fighting Rock	1	0.5	0.5	2	1	2	1	2	0.5	2	1	2	0.5	0.5	1	1	0.5	2	2"
"Fighting Ghost	1	0	1	1	1	1	1	0	0.5	1	2	2	0.25	0.5	2	1	1	1	2"
"Fighting Dragon	2	1	0.5	0.5	0.5	0.5	2	1	1	1	2	2	0.5	0.5	1	2	0.5	1	4"
"Fighting Dark	3	1	1	1	1	1	1	2	1	1	2	0	1	0.5	0.5	1	0.25	1	4"
"Fighting Steel	3	0.5	2	1	1	0.5	0.5	2	0	2	1	1	0.25	0.25	1	0.5	0.5	0.5	1"
"Fighting Fairy	0	1	1	1	1	1	1	0.5	2	1	2	2	0.25	0.5	1	0	0.25	2	2"
"Poison None	16	1	1	1	1	0.5	1	0.5	0.5	2	1	2	0.5	1	1	1	1	1	0.5"
"Poison Normal	0	1	1	1	1	0.5	1	1	0.5	2	1	2	0.5	1	0	1	1	1	0.5"
"Poison Fire	2	1	0.5	2	1	0.25	0.5	0.5	0.5	4	1	2	0.25	2	1	1	1	0.5	0.25"
"Poison Water	6	1	0.5	0.5	2	1	0.5	0.5	0.5	2	1	2	0.5	1	1	1	1	0.5	0.5"
"Poison Electric	0	1	1	1	0.5	0.5	1	0.5	0.5	4	0.5	2	0.5	1	1	1	1	0.5	0.5"
"Poison Grass	15	1	2	0.5	0.5	0.25	2	0.5	1	1	2	2	1	1	1	1	1	1	0.5"
"Poison Ice	0	1	2	1	1	0.5	0.5	1	0.5	2	1	2	0.5	2	1	1	1	2	0.5"
"Poison Fighting	2	1	1	1	1	0.5	1	0.5	0.5	2	2	4	0.25	0.5	1	1	0.5	1	1"
"Poison Ground	2	1	1	2	0	1	2	0.5	0.25	2	1	2	0.5	0.5	1	1	1	1	0.5"
"Poison Flying	3	1	1	1	2	0.25	2	0.25	0.5	0	1	2	0.25	2	1	1	1	1	0.5"
"Poison Psychic	0	1	1	1	1	0.5	1	0.25	0.5	2	1	1	1	1	2	1	2	1	0.5"
"Poison Bug	13	1	2	1	1	0.25	1	0.25	0.5	1	2	2	0.5	2	1	1	1	1	0.5"
"Poison Rock	1	0.5	0.5	2	1	1	1	1	0.25	4	0.5	2	0.5	1	1	1	1	2	0.5"
"Poison Ghost	4	0	1	1	1	0.5	1	0	0.25	2	1	2	0.25	1	2	1	2	1	0.5"
"Poison Dragon	2	1	0.5	0.5	0.5	0.25	2	0.5	0.5	2	1	2	0.5	1	1	2	1	1	1"
"Poison Dark	5	1	1	1	1	0.5	1	1	0.5	2	1	0	1	1	0.5	1	0.5	1	1"
"Poison Steel	0	0.5	2	1	1	0.25	0.5	1	0	4	0.5	1	0.25	0.5	1	0.5	1	0.5	0.25"
"Poison Fairy	0	1	1	1	1	0.5	1	0.25	1	2	1	2	0.25	1	1	0	0.5	2	0.5"
"Ground None	15	1	1	2	0	2	2	1	0.5	1	1	1	1	0.5	1	1	1	1	1"
"Ground Normal	1	1	1	2	0	2	2	2	0.5	1	1	1	1	0.5	0	1	1	1	1"
"Ground Fire	4	1	0.5	4	0	1	1	1	0.5	2	1	1	0.5	1	1	1	1	0.5	0.5"
"Ground Water	10	1	0.5	1	0	4	1	1	0.5	1	1	1	1	0.5	1	1	1	0.5	1"
"Ground Electric	1	1	1	2	0	2	2	1	0.5	2	0.5	1	1	0.5	1	1	1	0.5	1"
"Ground Grass	1	1	2	1	0	1	4	1	1	0.5	2	1	2	0.5	1	1	1	1	1"
"Ground Ice	3	1	2	2	0	2	1	2	0.5	1	1	1	1	1	1	1	1	2	1"
"Ground Fighting	0	1	1	2	0	2	2	1	0.5	1	2	2	0.5	0.25	1	1	0.5	1	2"
"Ground Poison	2	1	1	2	0	1	2	0.5	0.25	2	1	2	0.5	0.5	1	1	1	1	0.5"
"Ground Flying	4	1	1	2	0	1	4	0.5	0.5	0	1	1	0.5	1	1	1	1	1	1"
"Ground Psychic	2	1	1	2	0	2	2	0.5	0.5	1	1	0.5	2	0.5	2	1	2	1	1"
"Ground Bug	2	1	2	2	0	1	2	0.5	0.5	0.5	2	1	1	1	1	1	1	1	1"
"Ground Rock	9	0.5	0.5	4	0	4	2	2	0.25	2	0.5	1	1	0.5	1	1	1	2	1"
"Ground Ghost	4	0	1	2	0	2	2	0	0.25	1	1	1	0.5	0.5	2	1	2	1	1"
"Ground Dragon	9	1	0.5	1	0	1	4	1	0.5	1	1	1	1	0.5	1	2	1	1	2"
"Ground Dark	3	1	1	2	0	2	2	2	0.5	1	1	0	2	0.5	0.5	1	0.5	1	2"
"Ground Steel	5	0.5	2	2	0	1	1	2	0	2	0.5	0.5	0.5	0.25	1	0.5	1	0.5	0.5"
"Ground Fairy	0	1	1	2	0	2	2	0.5	1	1	1	1	0.5	0.5	1	0	0.5	2	1"
"Flying None	2	1	1	1	2	0.5	2	0.5	1	0	1	1	0.5	2	1	1	1	1	1"
"Flying Normal	27	1	1	1	2	0.5	2	1	1	0	1	1	0.5	2	0	1	1	1	1"
"Flying Fire	7	1	0.5	2	2	0.25	1	0.5	1	0	1	1	0.25	4	1	1	1	0.5	0.5"
"Flying Water	7	1	0.5	0.5	4	1	1	0.5	1	0	1	1	0.5	2	1	1	1	0.5	1"
"Flying Electric	6	1	1	1	1	0.5	2	0.5	1	0	0.5	1	0.5	2	1	1	1	0.5	1"
"Flying Grass	7	1	2	0.5	1	0.25	4	0.5	2	0	2	1	1	2	1	1	1	1	1"
"Flying Ice	2	1	2	1	2	0.5	1	1	1	0	1	1	0.5	4	1	1	1	2	1"
"Flying Fighting	1	1	1	1	2	0.5	2	0.5	1	0	2	2	0.25	1	1	1	0.5	1	2"
"Flying Poison	3	1	1	1	2	0.25	2	0.25	0.5	0	1	2	0.25	2	1	1	1	1	0.5"
"Flying Ground	4	1	1	2	0	1	4	0.5	0.5	0	1	1	0.5	1	1	1	1	1	1"
"Flying Psychic	7	1	1	1	2	0.5	2	0.25	1	0	1	0.5	1	2	2	1	2	1	1"
"Flying Bug	14	1	2	1	2	0.25	2	0.25	1	0	2	1	0.5	4	1	1	1	1	1"
"Flying Rock	6	0.5	0.5	2	2	1	2	1	0.5	0	0.5	1	0.5	2	1	1	1	2	1"
"Flying Ghost	3	0	1	1	2	0.5	2	0	0.5	0	1	1	0.25	2	2	1	2	1	1"
"Flying Dragon	8	1	0.5	0.5	1	0.25	4	0.5	1	0	1	1	0.5	2	1	2	1	1	2"
"Flying Dark	5	1	1	1	2	0.5	2	1	1	0	1	0	1	2	0.5	1	0.5	1	2"
"Flying Steel	2	0.5	2	1	2	0.25	1	1	0	0	0.5	0.5	0.25	1	1	0.5	1	0.5	0.5"
"Flying Fairy	2	1	1	1	2	0.5	2	0.25	2	0	1	1	0.25	2	1	0	0.5	2	1"
"Psychic None	41	1	1	1	1	1	1	0.5	1	1	1	0.5	2	1	2	1	2	1	1"
"Psychic Normal	3	1	1	1	1	1	1	1	1	1	1	0.5	2	1	0	1	2	1	1"
"Psychic Fire	3	1	0.5	2	1	0.5	0.5	0.5	1	2	1	0.5	1	2	2	1	2	0.5	0.5"
"Psychic Water	6	1	0.5	0.5	2	2	0.5	0.5	1	1	1	0.5	2	1	2	1	2	0.5	1"
"Psychic Electric	1	1	1	1	0.5	1	1	0.5	1	2	0.5	0.5	2	1	2	1	2	0.5	1"
"Psychic Grass	3	1	2	0.5	0.5	0.5	2	0.5	2	0.5	2	0.5	4	1	2	1	2	1	1"
"Psychic Ice	2	1	2	1	1	1	0.5	1	1	1	1	0.5	2	2	2	1	2	2	1"
"Psychic Fighting	6	1	1	1	1	1	1	0.5	1	1	2	1	1	0.5	2	1	1	1	2"
"Psychic Poison	0	1	1	1	1	0.5	1	0.25	0.5	2	1	1	1	1	2	1	2	1	0.5"
"Psychic Ground	2	1	1	2	0	2	2	0.5	0.5	1	1	0.5	2	0.5	2	1	2	1	1"
"Psychic Flying	7	1	1	1	2	0.5	2	0.25	1	0	1	0.5	1	2	2	1	2	1	1"
"Psychic Bug	0	1	2	1	1	0.5	1	0.25	1	0.5	2	0.5	2	2	2	1	2	1	1"
"Psychic Rock	2	0.5	0.5	2	1	2	1	1	0.5	2	0.5	0.5	2	1	2	1	2	2	1"
"Psychic Ghost	3	0	1	1	1	1	1	0	0.5	1	1	0.5	1	1	4	1	4	1	1"
"Psychic Dragon	5	1	0.5	0.5	0.5	0.5	2	0.5	1	1	1	0.5	2	1	2	2	2	1	2"
"Psychic Dark	3	1	1	1	1	1	1	1	1	1	1	0	4	1	1	1	1	1	2"
"Psychic Steel	9	0.5	2	1	1	0.5	0.5	1	0	2	0.5	0.25	1	0.5	2	0.5	2	0.5	0.5"
"Psychic Fairy	7	1	1	1	1	1	1	0.25	2	1	1	0.5	1	1	2	0	1	2	1"
"Bug None	18	1	2	1	1	0.5	1	0.5	1	0.5	2	1	1	2	1	1	1	1	1"
"Bug Normal	0	1	2	1	1	0.5	1	1	1	0.5	2	1	1	2	0	1	1	1	1"
"Bug Fire	2	1	1	2	1	0.25	0.5	0.5	1	1	2	1	0.5	4	1	1	1	0.5	0.5"
"Bug Water	5	1	1	0.5	2	1	0.5	0.5	1	0.5	2	1	1	2	1	1	1	0.5	1"
"Bug Electric	4	1	2	1	0.5	0.5	1	0.5	1	1	1	1	1	2	1	1	1	0.5	1"
"Bug Grass	6	1	4	0.5	0.5	0.25	2	0.5	2	0.25	4	1	2	2	1	1	1	1	1"
"Bug Ice	0	1	4	1	1	0.5	0.5	1	1	0.5	2	1	1	4	1	1	1	2	1"
"Bug Fighting	4	1	2	1	1	0.5	1	0.5	1	0.5	4	2	0.5	1	1	1	0.5	1	2"
"Bug Poison	13	1	2	1	1	0.25	1	0.25	0.5	1	2	2	0.5	2	1	1	1	1	0.5"
"Bug Ground	2	1	2	2	0	1	2	0.5	0.5	0.5	2	1	1	1	1	1	1	1	1"
"Bug Flying	14	1	2	1	2	0.25	2	0.25	1	0	2	1	0.5	4	1	1	1	1	1"
"Bug Psychic	0	1	2	1	1	0.5	1	0.25	1	0.5	2	0.5	2	2	2	1	2	1	1"
"Bug Rock	5	0.5	1	2	1	1	1	1	0.5	1	1	1	1	2	1	1	1	2	1"
"Bug Ghost	1	0	2	1	1	0.5	1	0	0.5	0.5	2	1	0.5	2	2	1	2	1	1"
"Bug Dragon	0	1	1	0.5	0.5	0.25	2	0.5	1	0.5	2	1	1	2	1	2	1	1	2"
"Bug Dark	0	1	2	1	1	0.5	1	1	1	0.5	2	0	2	2	0.5	1	0.5	1	2"
"Bug Steel	7	0.5	4	1	1	0.25	0.5	1	0	1	1	0.5	0.5	1	1	0.5	1	0.5	0.5"
"Bug Fairy	2	1	2	1	1	0.5	1	0.25	2	0.5	2	1	0.5	2	1	0	0.5	2	1"
"Rock None	14	0.5	0.5	2	1	2	1	2	0.5	2	0.5	1	1	1	1	1	1	2	1"
"Rock Normal	0	0.5	0.5	2	1	2	1	4	0.5	2	0.5	1	1	1	0	1	1	2	1"
"Rock Fire	1	0.5	0.25	4	1	1	0.5	2	0.5	4	0.5	1	0.5	2	1	1	1	1	0.5"
"Rock Water	10	0.5	0.25	1	2	4	0.5	2	0.5	2	0.5	1	1	1	1	1	1	1	1"
"Rock Electric	3	0.5	0.5	2	0.5	2	1	2	0.5	4	0.25	1	1	1	1	1	1	1	1"
"Rock Grass	2	0.5	1	1	0.5	1	2	2	1	1	1	1	2	1	1	1	1	2	1"
"Rock Ice	2	0.5	1	2	1	2	0.5	4	0.5	2	0.5	1	1	2	1	1	1	4	1"
"Rock Fighting	1	0.5	0.5	2	1	2	1	2	0.5	2	1	2	0.5	0.5	1	1	0.5	2	2"
"Rock Poison	1	0.5	0.5	2	1	1	1	1	0.25	4	0.5	2	0.5	1	1	1	1	2	0.5"
"Rock Ground	9	0.5	0.5	4	0	4	2	2	0.25	2	0.5	1	1	0.5	1	1	1	2	1"
"Rock Flying	6	0.5	0.5	2	2	1	2	1	0.5	0	0.5	1	0.5	2	1	1	1	2	1"
"Rock Psychic	2	0.5	0.5	2	1	2	1	1	0.5	2	0.5	0.5	2	1	2	1	2	2	1"
"Rock Bug	5	0.5	1	2	1	1	1	1	0.5	1	1	1	1	2	1	1	1	2	1"
"Rock Ghost	0	0	0.5	2	1	2	1	0	0.25	2	0.5	1	0.5	1	2	1	2	2	1"
"Rock Dragon	2	0.5	0.25	1	0.5	1	2	2	0.5	2	0.5	1	1	1	1	2	1	2	2"
"Rock Dark	2	0.5	0.5	2	1	2	1	4	0.5	2	0.5	0	2	1	0.5	1	0.5	2	2"
"Rock Steel	7	0.25	1	2	1	1	0.5	4	0	4	0.25	0.5	0.5	0.5	1	0.5	1	1	0.5"
"Rock Fairy	3	0.5	0.5	2	1	2	1	1	1	2	0.5	1	0.5	1	1	0	0.5	4	1"
"Ghost None	10	0	1	1	1	1	1	0	0.5	1	1	1	0.5	1	2	1	2	1	1"
"Ghost Normal	0	0	1	1	1	1	1	0	0.5	1	1	1	0.5	1	0	1	2	1	1"
"Ghost Fire	5	0	0.5	2	1	0.5	0.5	0	0.5	2	1	1	0.25	2	2	1	2	0.5	0.5"
"Ghost Water	2	0	0.5	0.5	2	2	0.5	0	0.5	1	1	1	0.5	1	2	1	2	0.5	1"
"Ghost Electric	1	0	1	1	0.5	1	1	0	0.5	2	0.5	1	0.5	1	2	1	2	0.5	1"
"Ghost Grass	12	0	2	0.5	0.5	0.5	2	0	1	0.5	2	1	1	1	2	1	2	1	1"
"Ghost Ice	1	0	2	1	1	1	0.5	0	0.5	1	1	1	0.5	2	2	1	2	2	1"
"Ghost Fighting	1	0	1	1	1	1	1	0	0.5	1	2	2	0.25	0.5	2	1	1	1	2"
"Ghost Poison	4	0	1	1	1	0.5	1	0	0.25	2	1	2	0.25	1	2	1	2	1	0.5"
"Ghost Ground	4	0	1	2	0	2	2	0	0.25	1	1	1	0.5	0.5	2	1	2	1	1"
"Ghost Flying	3	0	1	1	2	0.5	2	0	0.5	0	1	1	0.25	2	2	1	2	1	1"
"Ghost Psychic	3	0	1	1	1	1	1	0	0.5	1	1	0.5	1	1	4	1	4	1	1"
